"Jday","y1","y2","Tsoil","Tair","SWC","PAR","WS","PA","rH","LE","H","SR"
230.4166667,-0.882147674914096,-0.470972907547404,23.62,30.8,25.7,1696.756452,1.65735,102.022,63.988,298,53.7,4.43
230.4375,-0.891767454271356,-0.452493986150519,23.76,31.2,25.6,1909.663242,1.88925,102,61.418,344,83.3,4.61
230.4583333,-0.901000197019688,-0.433818677526088,23.89,31.6,25.5,2057.680515,2.3762,101.966,58.802,428,78.2,NA
230.4791667,-0.909841937545547,-0.414954995973498,24,31.7,25.4,2135.322363,1.87994,101.939,56.902,527,44,4.53
230.5,-0.918288753561632,-0.395911309616466,24.12,31.7,25.3,2105.646124,2.33873,101.931,57.785,309,27,4.34
230.5208333,-0.926337022441361,-0.376695793518421,24.23,32.2,25.3,2179.164518,2.06442,101.922,56.955,409.75,37.4,5.27
230.5416667,-0.93398328688168,-0.357316694020435,24.35,31.8,25.2,1229.197032,2.69342,101.893,58.332,384,15.3,4.45
230.5625,-0.941224154920811,-0.337782607890941,24.46,32.3,25.1,1596.223567,2.47033,101.867,57.669,419,49.8,4.66
230.5833333,-0.948056521614197,-0.31810192049843,24.56,31.8,25,1519.114069,2.75962,101.844,58.088,323,4.1582,NA
230.6041667,-0.954477451469968,-0.29828307802387,24.65,31.4,24.9,1260.148504,2.94301,101.813,56.953,311.25,-43.2,4.7
230.625,-0.960484096097408,-0.278334872310216,24.72,31.5,24.9,690.8381116,3.30425,101.789,59.019,256,3.8798,4.86
230.6458333,-0.966073880358727,-0.258265866286336,24.77,31.8,24.9,1007.868891,2.41624,101.758,56.331,247,-17.7,4.32
230.6666667,-0.971244402036273,-0.238084672990939,24.81,30.8,24.8,800.9863743,3.12463,101.741,61.388,251.5,-41.1,NA
230.6875,-0.975993367433295,-0.217800245009542,24.84,30.5,24.8,629.7712867,2.77439,101.743,62.59,190.75,-31.9,4.8
230.7083333,-0.980318741274629,-0.197421289393335,24.85,29.4,24.8,543.7622249,2.60122,101.72,68.266,135.5,-34.6,5.23
